,Classification,GS.Type,Site.Type,Site.Code,Genus.Code,Species.Code,Cultivar.Code,Species.Latin,Species.Common,DBH,Native_SLL,Native_ETF,Origin.Source,Comments
467,Public,Street,S,S104,GL,GLTR,GLTRIN,Gleditsia triacanthos var. inermis,Thornless Honey-Locust,20,N,Y,USDA/LM,
808,Public,Street,S,S83,UL,ULHO,ULXXHO,Ulmus x 'Homestead',Homestead Elm,20,N,N,Mortens/TB,"From the non-native U. x hollandica, non-native U. minor and non-native  U. pumila. Deemed non-invasive: Fast grower (Mortens) but does not state invasive, no invasive traits mentioned in TB either (KP)
"
1216,Private,Private,R,R113,GL,GLTR,GLTR,Gleditsia triacanthos,Common Honey-Locust,20,N,Y,USDA/TC/LM,
2146,Private,Institutional,I,I6,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,20,Y,Y,USDA/TC/Mortens/LM,
2171,Private,Institutional,I,I6,AC,ACPL,ACPL,Acer platanoides,Norway Maple,20,N,N,USDA/TC,
2234,Private,Institutional,I,I6,QU,QURU,QURU,Quercus rubra,Red Oak,20,Y,Y,TC/LM,
2309,Private,Institutional,I,I6,MA,MA,MA,Malus_X,,20,N,N,NA,
2593,Private,Institutional,I,I1,TA,TACA,TACA,Taxus canadensis,Canadian Yew,20,Y,Y,USDA/TC/LM,
2660,Private,Institutional,I,I5,CE,CEOC,CEOC,Celtis occidentalis ,Common Hackberry,20,Y,Y,USDA/LM/NRC,
1254,Private,Private,R,R113,UL,ULAM,ULAM,Ulmus americana,White Elm,20.1,Y,Y,USDA/TC/LM,
1485,Private,Private,R,R127,SY,SYVU,SYVU,Syringa vulgaris,Common Lilac,20.1,N,N,USDA/TC/Mortens,
1979,Private,Private (Alley),A,A12,LO,LOPE,LOPE,Lonicera periclymenum,,20.1,N,N,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=372017&isprofile=0&=,
2516,Private,Institutional,I,I1,TA,TACA,TACA,Taxus canadensis,Canadian Yew,20.1,Y,Y,USDA/TC/LM,
1719,Private,Private,R,R146,RH,RHCA,RHCA,Rhamnus cathartica,European Buckthorn,20.2,N,N,USDA/TC/Mortens,
1854,Private,Private,R,R156,MA,MA,MA,Magnolia x ,,20.2,N,N,NA,
1147,Private,Private,R,R103,CE,CEOC,CEOC,Celtis occidentalis ,Common Hackberry,20.3,Y,Y,USDA/LM/NRC,
1506,Private,Private,R,R132,PI,PIPU,PIPU,Picea pungens,Colorado Spruce,20.3,N,N,USDA/TC/LM,
1633,Private,Private,R,R140,RO,ROPS,ROPS,Robinia pseudoacacia,Black Locust,20.3,N,Y,TC/lLM/Mortens,
1771,Private,Private,R,R151,AC,ACPL,ACPL,Acer platanoides,Norway Maple,20.3,N,N,USDA/TC,
2451,Private,Institutional,I,I1,PN,PNNI,PNNI,Pinus nigra,NA,20.3,N,N,USDA/TC/Mortens,NA
2659,Private,Institutional,I,I5,CE,CEOC,CEOC,Celtis occidentalis ,Common Hackberry,20.3,Y,Y,USDA/LM/NRC,
1210,Private,Private,R,R113,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,20.4,Y,Y,USDA/TC/LM,
2484,Private,Institutional,I,I1,PN,PNNI,PNNI,Pinus nigra,NA,20.4,N,N,USDA/TC/Mortens,NA
2698,Private,Private (Alley),A,A11,CE,CEOC,CEOC,Celtis occidentalis ,Common Hackberry,20.4,Y,Y,USDA/LM/NRC,
1251,Private,Private,R,R113,AC,ACPL,ACPL,Acer platanoides,Norway Maple,20.6,N,N,USDA/TC,
908,Private,Private,R,R14,PI,PIAB,PIAB,Picea abies,Norway Spruce,20.7,N,N,USDA/TC/Mortens,
1259,Private,Private,R,R113,UL,ULAM,ULAM,Ulmus americana,White Elm,20.7,Y,Y,USDA/TC/LM,
1842,Private,Private,R,R156,GI,GIBI,GIBI,Ginkgo biloba,Maidenhair Tree,20.7,N,N,Mortens/TC/USDA,
893,Private,Private,R,R13,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,20.8,Y,Y,USDA/TC/LM,
1244,Private,Private,R,R113,CT,CTSP,CTSP,Catalpa speciosa,Western Catalpa,20.8,N,Y,USDA/TC/LM,
1296,Private,Private,R,R115,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,20.8,Y,Y,USDA/TC/LM,
1364,Private,Private,R,R118,MA,MASY,MASY,Malus sylvestris,Crab Apple,20.8,N,N,USDA/TC,Synonym: Malus pumila & Malus domestica
2512,Private,Institutional,I,I1,TA,TACA,TACA,Taxus canadensis,Canadian Yew,20.8,Y,Y,USDA/TC/LM,
895,Private,Private,R,R13,SY,SYVU,SYVU,Syringa vulgaris,Common Lilac,20.9,N,N,USDA/TC/Mortens,
1057,Private,Private,R,R67,EU,EUAL,EUAL,Euonymus alatus,Burning Bush,20.9,N,N,USDA/TC,
1354,Private,Private,R,R118,EU,EUAL,EUAL,Euonymus alatus,Burning Bush,20.9,N,N,USDA/TC,
1733,Private,Private,R,R149,SY,SYVU,SYVU,Syringa vulgaris,Common Lilac,20.9,N,N,USDA/TC/Mortens,
1855,Private,Private,R,R156,MA,MA,MA,Magnolia x ,,20.9,N,N,NA,
2574,Private,Institutional,I,I1,PI,PIGL,PIGL,Picea glauca,White Spruce,20.9,Y,Y,USDA/TC/LM,
434,Public,Parc,P,P1,GL,GLTR,GLTRSK,Gleditsia triacanthos 'Skyline',Skyline Honey-Locust,21,N,Y,USDA/LM,
440,Public,Parc,P,P1,GL,GLTR,GLTRSK,Gleditsia triacanthos 'Skyline',Skyline Honey-Locust,21,N,Y,USDA/LM,
463,Public,Street,S,S103,GL,GLTR,GLTRIN,Gleditsia triacanthos var. inermis,Thornless Honey-Locust,21,N,Y,USDA/LM,
469,Public,Street,S,S105,GL,GLTR,GLTRIN,Gleditsia triacanthos var. inermis,Thornless Honey-Locust,21,N,Y,USDA/LM,
1223,Private,Private,R,R113,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,21,Y,Y,USDA/TC/LM,
1266,Private,Private,R,R113,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,21,N,Y,USDA/TC/LM/Mortens,
1749,Private,Private,R,R149,PN,PNRE,PNRE,Pinus resinosa,Red Pine,21,Y,Y,USDA/TC/LM,
1918,Private,Private (Alley),A,A2,BE,BEPA,BEPA,Betula papyrifera,Paper Birch,21,Y,Y,USDA/TC/LM,
2321,Private,Institutional,I,I6,PN,PNRE,PNRE,Pinus resinosa,Red Pine,21,Y,Y,USDA/TC/LM,
2432,Private,Institutional,I,I1,PI,PIPU,PIPU,Picea pungens,Colorado Spruce,21,N,N,USDA/TC/LM,
998,Private,Private,R,R43,GL,GLTR,GLTR,Gleditsia triacanthos,Common Honey-Locust,21.1,N,Y,USDA/TC/LM,
2066,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,21.1,Y,Y,USDA/TC/Mortens/LM,
1723,Private,Private,R,R147,SY,SYVU,SYVU,Syringa vulgaris,Common Lilac,21.2,N,N,USDA/TC/Mortens,
1711,Private,Private,R,R144,MA,MAIO,MAIO,Malus ioensis,,21.25,N,Y,http://bonap.net/Napa/TaxonMaps/Genus/County/Malus,
1490,Private,Private,R,R128,TS,TSCA,TSCA,Tsuga caroliana ,Eastern hemlock,21.3,Y,Y,USDA/TC.LM,
1585,Private,Private,R,R138,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,21.3,Y,Y,USDA/TC/LM,
1801,Private,Private,R,R152,PI,PIMA,PIMA,Picea mariana,Black spruce,21.3,Y,Y,USDA/TC/LM,
2085,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,21.4,Y,Y,USDA/TC/Mortens/LM,
1231,Private,Private,R,R113,PI,PIPU,PIPU,Picea pungens,Colorado Spruce,21.5,N,N,USDA/TC/LM,
1461,Private,Private,R,R119,AC,ACPL,ACPL,Acer platanoides,Norway Maple,21.5,N,N,USDA/TC,
1590,Private,Private,R,R138,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,21.5,Y,Y,USDA/TC/LM,
2023,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,21.5,Y,Y,USDA/TC/Mortens/LM,
2048,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,21.5,Y,Y,USDA/TC/Mortens/LM,
2405,Private,Institutional,I,I1,EU,EUAL,EUAL,Euonymus alatus,Burning Bush,21.5,N,N,USDA/TC,
2462,Private,Institutional,I,I1,PI,PIAB,PIAB,Picea abies,Norway Spruce,21.5,N,N,USDA/TC/Mortens,
1097,Private,Private,R,R84,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,21.6,N,Y,USDA/TC/LM/Mortens,
1917,Private,Private (Alley),A,A2,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,21.6,N,Y,USDA/TC/LM/Mortens,
2045,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,21.6,Y,Y,USDA/TC/Mortens/LM,
2515,Private,Institutional,I,I1,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,21.6,Y,Y,USDA/TC/LM,
1800,Private,Private,R,R152,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,21.7,N,N,USDA,
2032,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,21.9,Y,Y,USDA/TC/Mortens/LM,
64,Public,Street,S,S10,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,22,Y,Y,USDA/LM,
82,Public,Street,S,S22,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,22,Y,Y,USDA/LM,
86,Public,Street,S,S24,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,22,Y,Y,USDA/LM,
87,Public,Street,S,S25,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,22,Y,Y,USDA/LM,
240,Public,Street,S,S66,CE,CEOC,CEOC,Celtis occidentalis,Common Hackberry,22,Y,Y,USDA/LM/NRC,
269,Public,Street,S,S93,CE,CEOC,CEOC,Celtis occidentalis,Common Hackberry,22,Y,Y,USDA/LM/NRC,
311,Public,Street,S,S90,FR,FRPE,FRPESU,Fraxinus pennsylvanica 'Summit',Summit Red Ash,22,Y,Y,USDA/TC/Mortens/LM,
448,Public,Street,S,S41,GL,GLTR,GLTRIN,Gleditsia triacanthos var. inermis,Thornless Honey-Locust,22,N,Y,USDA/LM,
454,Public,Street,S,S59,GL,GLTR,GLTRIN,Gleditsia triacanthos var. inermis,Thornless Honey-Locust,22,N,Y,USDA/LM,
462,Public,Street,S,S103,GL,GLTR,GLTRIN,Gleditsia triacanthos var. inermis,Thornless Honey-Locust,22,N,Y,USDA/LM,
696,Public,Street,S,S31,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,22,N,N,USDA,
709,Public,Parc,P,P1,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,22,N,N,USDA,
739,Public,Parc,P,P1,TI,TICO,TICOSH,Tilia cordata 'Sheridan',Sheridan Littleleaf Linden,22,N,N,USDA,
803,Public,Street,S,S69,UL,ULHO,ULXXHO,Ulmus x 'Homestead',Homestead Elm,22,N,N,Mortens/TB,"From the non-native U. x hollandica, non-native U. minor and non-native  U. pumila. Deemed non-invasive: Fast grower (Mortens) but does not state invasive, no invasive traits mentioned in TB either (KP)
"
1217,Private,Private,R,R113,GL,GLTR,GLTR,Gleditsia triacanthos,Common Honey-Locust,22,N,Y,USDA/TC/LM,
1314,Private,Private,R,R117,PN,PNNI,PNNI,Pinus nigra,NA,22,N,N,USDA/TC/Mortens,NA
1773,Private,Private,R,R151,UL,ULPU,ULPU,Ulmus pumila,Siberian Elm,22,N,N,USDA/TC/LM,
2095,Private,Private,R,R163,PI,PIPU,PIPU,Picea pungens,Colorado Spruce,22,N,N,USDA/TC/LM,
2166,Private,Institutional,I,I6,UL,ULMO,ULXXMO,Ulmus x 'Morton' Accolade,Morton (Accolade TM) Elm,22,N,N,Mortons,
2230,Private,Institutional,I,I6,PI,PIGL,PIGL,Picea glauca,White Spruce,22,Y,Y,USDA/TC/LM,
2456,Private,Institutional,I,I1,PN,PNNI,PNNI,Pinus nigra,NA,22,N,N,USDA/TC/Mortens,NA
2625,Private,Institutional,I,I1,AC,ACSC,ACSC,Acer saccharum ,Sugar Maple,22,Y,Y,TC/LM,
956,Private,Private,R,R28,UL,ULAM,ULAM,Ulmus americana,White Elm,22.1,Y,Y,USDA/TC/LM,
1153,Private,Private,R,R103,MA,MA,MA,Malus_X,,22.1,N,N,NA,
2356,Private,Institutional,I,I2,AC,ACGI,ACGI,Acer ginnala,Armur Maple,22.1,N,N,USDA/TC/Mortens,
2379,Private,Institutional,I,I2,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,22.1,Y,Y,USDA/TC/LM,
2445,Private,Institutional,I,I1,PI,PIPU,PIPU,Picea pungens,Colorado Spruce,22.1,N,N,USDA/TC/LM,
1864,Private,Private,R,R156,PN,PNSY,PNSY,Pinus sylvestris,Scots Pine,22.2,N,N,USDA/TC/Mortens,
1517,Private,Private,R,R132,MA,MA,MA,Magnolia x ,,22.3,N,N,NA,
2081,Private,Institutional,I,I4,GL,GLTR,GLTR,Gleditsia triacanthos,Common Honey-Locust,22.3,N,Y,USDA/TC/LM,
2686,Private,Private,R,R164,AC,ACPL,ACPL,Acer platanoides,Norway Maple,22.3,N,N,USDA/TC,
949,Private,Private,R,R24,JU,JUNI,JUNI,Juglans nigra,Eastern Black Walnut,22.4,Y,Y,USDA/TC/LM/TIC,Very small native region in Saint-Lawrence Lowlands (KP)
1041,Private,Private,R,R63,PR,PRVI,PRVI,Prunus virginiana,Chokecherry,22.4,Y,Y,USDA/TC/LM,Synonym: Common chokecherry
1297,Private,Private,R,R115,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,22.4,Y,Y,USDA/TC/LM,
2063,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,22.4,Y,Y,USDA/TC/Mortens/LM,
2029,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,22.5,Y,Y,USDA/TC/Mortens/LM,
2436,Private,Institutional,I,I1,PN,PNNI,PNNI,Pinus nigra,NA,22.5,N,N,USDA/TC/Mortens,NA
914,Private,Private,R,R18,CT,CTSP,CTSP,Catalpa speciosa,Western Catalpa,22.6,N,Y,USDA/TC/LM,
2069,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,22.7,Y,Y,USDA/TC/Mortens/LM,
1476,Private,Private,R,R127,PI,PIMA,PIMA,Picea mariana,Black spruce,22.8,Y,Y,USDA/TC/LM,
1730,Private,Private,R,R149,PR,PRDO,PRDO,Prunus domestica,Garden Plum,22.8,N,N,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6312543/,
2687,Private,Private,R,R164,AC,ACPL,ACPL,Acer platanoides,Norway Maple,22.8,N,N,USDA/TC,
2450,Private,Institutional,I,I1,PI,PIGL,PIGL,Picea glauca,White Spruce,22.9,Y,Y,USDA/TC/LM,
19,Public,Street,S,S85,AC,ACPL,ACPL,Acer platanoides,Norway Maple,23,N,N,USDA/TC,
20,Public,Street,S,S85,AC,ACPL,ACPL,Acer platanoides,Norway Maple,23,N,N,USDA/TC,
69,Public,Street,S,S15,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,23,Y,Y,USDA/LM,
118,Public,Street,S,S70,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,23,Y,Y,USDA/LM,
291,Public,Street,S,S15,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,23,Y,Y,USDA/TC/Mortens/LM,
455,Public,Street,S,S59,GL,GLTR,GLTRIN,Gleditsia triacanthos var. inermis,Thornless Honey-Locust,23,N,Y,USDA/LM,
457,Public,Street,S,S59,GL,GLTR,GLTRIN,Gleditsia triacanthos var. inermis,Thornless Honey-Locust,23,N,Y,USDA/LM,
464,Public,Street,S,S103,GL,GLTR,GLTRIN,Gleditsia triacanthos var. inermis,Thornless Honey-Locust,23,N,Y,USDA/LM,
465,Public,Street,S,S103,GL,GLTR,GLTRIN,Gleditsia triacanthos var. inermis,Thornless Honey-Locust,23,N,Y,USDA/LM,
575,Public,Parc,P,P2,MA,MARO,MAXXRO,Malus x 'Royalty',NA,23,N,N,TB,NA
681,Public,Street,S,S4,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,23,N,N,USDA,
804,Public,Street,S,S71,UL,ULHO,ULXXHO,Ulmus x 'Homestead',Homestead Elm,23,N,N,Mortens/TB,"From the non-native U. x hollandica, non-native U. minor and non-native  U. pumila. Deemed non-invasive: Fast grower (Mortens) but does not state invasive, no invasive traits mentioned in TB either (KP)
"
1240,Private,Private,R,R113,AC,ACPL,ACPL,Acer platanoides,Norway Maple,23,N,N,USDA/TC,
2093,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,23,Y,Y,USDA/TC/Mortens/LM,
2203,Private,Institutional,I,I6,AC,ACPL,ACPL,Acer platanoides,Norway Maple,23,N,N,USDA/TC,
2232,Private,Institutional,I,I6,QU,QURU,QURU,Quercus rubra,Red Oak,23,Y,Y,TC/LM,
2312,Private,Institutional,I,I6,MA,MA,MA,Malus_X,,23,N,N,NA,
1197,Private,Private,R,R113,PI,PIAB,PIAB,Picea abies,Norway Spruce,23.1,N,N,USDA/TC/Mortens,
1583,Private,Private,R,R138,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,23.1,Y,Y,USDA/TC/LM,
1718,Private,Private,R,R146,SY,SYVU,SYVU,Syringa vulgaris,Common Lilac,23.1,N,N,USDA/TC/Mortens,
2548,Private,Institutional,I,I1,AC,ACFR,ACFR,Acer × freemanii,FREEMAN MAPLE,23.1,Y,Y,Mortens/LM,Hybrid of silver &red
2054,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,23.2,Y,Y,USDA/TC/Mortens/LM,
1203,Private,Private,R,R113,SY,SYRE,SYRE,Syringa reticulata,Japanese Tree Lilac,23.3,N,N,USDA/Mortens,
1442,Private,Private,R,R118,MG,MGSO,MGXXSO,Magnolia × soulangeana,NA,23.3,N,N,TB/Mortens,NA
1804,Private,Private,R,R152,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,23.3,N,N,USDA,
1950,Private,Private (Alley),A,A9,UL,ULAM,ULAM,Ulmus americana,White Elm,23.3,Y,Y,USDA/TC/LM,
2046,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,23.3,Y,Y,USDA/TC/Mortens/LM,
2059,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,23.3,Y,Y,USDA/TC/Mortens/LM,
2571,Private,Institutional,I,I1,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,23.3,Y,Y,USDA/TC/LM,
2589,Private,Institutional,I,I1,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,23.3,Y,Y,USDA/TC/LM,
1086,Private,Private,R,R79,MA,MASY,MASY,Malus sylvestris,Crab Apple,23.4,N,N,USDA/TC,Synonym: Malus pumila & Malus domestica
1285,Private,Private,R,R114,TI,TIAM,TIAM,Tilia americana ,American Basswood,23.4,Y,Y,Mortens/LM,
1189,Private,Private,R,R2,SY,SYVU,SYVU,Syringa vulgaris,Common Lilac,23.5,N,N,USDA/TC/Mortens,
2043,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,23.5,Y,Y,USDA/TC/Mortens/LM,
1562,Private,Private,R,R137,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,23.6,Y,Y,USDA/TC/LM,
1573,Private,Private,R,R137,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,23.6,Y,Y,USDA/TC/LM,
2018,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,23.6,Y,Y,USDA/TC/Mortens/LM,
2439,Private,Institutional,I,I1,PI,PIAB,PIAB,Picea abies,Norway Spruce,23.6,N,N,USDA/TC/Mortens,
2596,Private,Institutional,I,I1,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,23.7,N,Y,USDA/TC/LM/Mortens,
1561,Private,Private,R,R137,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,23.8,Y,Y,USDA/TC/LM,
980,Private,Private,R,R38,PI,PIPU,PIPU,Picea pungens,Colorado Spruce,23.9,N,N,USDA/TC/LM,
1637,Private,Private,R,R140,RO,ROPS,ROPS,Robinia pseudoacacia,Black Locust,23.9,N,Y,TC/lLM/Mortens,
1788,Private,Private,R,R152,TA,TACA,TACA,Taxus canadensis,Canadian Yew,23.9,Y,Y,USDA/TC/LM,
9,Public,Street,S,S5,AC,ACPL,ACPL,Acer platanoides,Norway Maple,24,N,N,USDA/TC,
62,Public,Street,S,S3,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,24,Y,Y,USDA/LM,
63,Public,Street,S,S5,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,24,Y,Y,USDA/LM,
68,Public,Street,S,S15,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,24,Y,Y,USDA/LM,
73,Public,Street,S,S16,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,24,Y,Y,USDA/LM,
76,Public,Street,S,S16,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,24,Y,Y,USDA/LM,
96,Public,Street,S,S35,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,24,Y,Y,USDA/LM,
113,Public,Street,S,S50,AC,ACSA,ACSA,Acer saccharinum,Silver Maple,24,Y,Y,USDA/LM,
149,Public,Street,S,S15,AC,ACSA,ACSAPY,Acer saccharinum 'Pyramidalis',Pyramidale Silver Maple,24,Y,Y,USDA/LM,
151,Public,Street,S,S16,AC,ACSA,ACSAPY,Acer saccharinum 'Pyramidalis',Pyramidale Silver Maple,24,Y,Y,USDA/LM,
234,Public,Street,S,S9,CE,CEOC,CEOC,Celtis occidentalis,Common Hackberry,24,Y,Y,USDA/LM/NRC,
241,Public,Street,S,S66,CE,CEOC,CEOC,Celtis occidentalis,Common Hackberry,24,Y,Y,USDA/LM/NRC,
257,Public,Street,S,S89,CE,CEOC,CEOC,Celtis occidentalis,Common Hackberry,24,Y,Y,USDA/LM/NRC,
259,Public,Street,S,S89,CE,CEOC,CEOC,Celtis occidentalis,Common Hackberry,24,Y,Y,USDA/LM/NRC,
294,Public,Street,S,S55,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,24,Y,Y,USDA/TC/Mortens/LM,
429,Public,Parc,P,P1,GL,GLTR,GLTRSK,Gleditsia triacanthos 'Skyline',Skyline Honey-Locust,24,N,Y,USDA/LM,
461,Public,Street,S,S100,GL,GLTR,GLTRIN,Gleditsia triacanthos var. inermis,Thornless Honey-Locust,24,N,Y,USDA/LM,
466,Public,Street,S,S103,GL,GLTR,GLTRIN,Gleditsia triacanthos var. inermis,Thornless Honey-Locust,24,N,Y,USDA/LM,
526,Public,Street,S,S66,GY,GYDI,GYDI,Gymnocladus dioicus,Kentucky Coffee Tree,24,N,Y,USDA/LM,
697,Public,Street,S,S31,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,24,N,N,USDA,
698,Public,Street,S,S31,TI,TICO,TICO,Tilia cordata,Littleleaf European Linden,24,N,N,USDA,
1982,Private,Private,R,R161,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,24,N,Y,USDA/TC/LM/Mortens,
1991,Private,Private,R,R161,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,24,N,Y,USDA/TC/LM/Mortens,
2194,Private,Institutional,I,I6,PI,PIPU,PIPU,Picea pungens,Colorado Spruce,24,N,N,USDA/TC/LM,
2446,Private,Institutional,I,I1,PI,PIPU,PIPU,Picea pungens,Colorado Spruce,24,N,N,USDA/TC/LM,
2481,Private,Institutional,I,I1,PN,PNNI,PNNI,Pinus nigra,NA,24,N,N,USDA/TC/Mortens,NA
1492,Private,Private,R,R129,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,24.1,N,Y,USDA/TC/LM/Mortens,
1018,Private,Private,R,R48,MA,MASY,MASY,Malus sylvestris,Crab Apple,24.3,N,N,USDA/TC,Synonym: Malus pumila & Malus domestica
1087,Private,Private,R,R80,UL,ULPU,ULPU,Ulmus pumila,Siberian Elm,24.3,N,N,USDA/TC/LM,
2006,Private,Institutional,I,I4,AC,ACSC,ACSC,Acer saccharum ,Sugar Maple,24.3,Y,Y,TC/LM,
2058,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,24.3,Y,Y,USDA/TC/Mortens/LM,
1304,Private,Private,R,R116,AC,ACPL,ACPL,Acer platanoides,Norway Maple,24.4,N,N,USDA/TC,
1867,Private,Private,R,R156,SY,SYVU,SYVU,Syringa vulgaris,Common Lilac,24.4,N,N,USDA/TC/Mortens,
1920,Private,Private,A,A4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,24.4,Y,Y,USDA/TC/Mortens/LM,
2041,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,24.4,Y,Y,USDA/TC/Mortens/LM,
2071,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,24.4,Y,Y,USDA/TC/Mortens/LM,
2479,Private,Institutional,I,I1,PI,PIAB,PIAB,Picea abies,Norway Spruce,24.4,N,N,USDA/TC/Mortens,
1215,Private,Private,R,R113,GL,GLTR,GLTR,Gleditsia triacanthos,Common Honey-Locust,24.5,N,Y,USDA/TC/LM,
1564,Private,Private,R,R137,TH,THOC,THOC,Thuja occidentalis,Eastern White Cedar,24.5,Y,Y,USDA/TC/LM,
2696,Private,Private (Alley),A,A11,RH,RHCA,RHCA,Rhamnus cathartica,European Buckthorn,24.5,N,N,USDA/TC/Mortens,
909,Private,Private,R,R15,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,24.6,N,Y,USDA/TC/LM/Mortens,
1715,Private,Private,R,R144,AC,ACPL,ACPL,Acer platanoides,Norway Maple,24.6,N,N,USDA/TC,
1739,Private,Private,R,R149,SY,SYVU,SYVU,Syringa vulgaris,Common Lilac,24.6,N,N,USDA/TC/Mortens,
1988,Private,Private,R,R161,AC,ACPL,ACPL,Acer platanoides,Norway Maple,24.6,N,N,USDA/TC,
2047,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,24.6,Y,Y,USDA/TC/Mortens/LM,
2072,Private,Institutional,I,I4,FR,FRPE,FRPE,Fraxinus pennsylvanica,Red Ash,24.6,Y,Y,USDA/TC/Mortens/LM,
2403,Private,Institutional,I,I1,EU,EUAL,EUAL,Euonymus alatus,Burning Bush,24.6,N,N,USDA/TC,
2689,Private,Private,R,R164,AC,ACPL,ACPL,Acer platanoides,Norway Maple,24.6,N,N,USDA/TC,
955,Private,Private,R,R27,MO,MOAL,MOAL,Morus alba,White Mulberry,24.7,N,N,USDA/TC/Mortens,
1795,Private,Private,R,R152,TA,TACA,TACA,Taxus canadensis,Canadian Yew,24.7,Y,Y,USDA/TC/LM,
1173,Private,Private,R,R110,AC,ACRU,ACRU,Acer rubrum,Red Maple,24.8,Y,Y,USDA/LM/TC,
1491,Private,Private,R,R129,AC,ACSC,ACSC,Acer saccharum ,Sugar Maple,24.8,Y,Y,TC/LM,
1961,Private,Private (Alley),A,A10,AC,ACNE,ACNE,Acer negundo,Manitoba Maple,24.8,N,Y,USDA/TC/LM/Mortens,
